metric_candidate_id,source_evidence_id,source_name,source_type,entity_type,entity_id,segment_id,company_id,stock_code,metric_name,metric_category,period,period_type,value,unit,currency,original_value_text,original_unit_text,table_id,page_no_or_section,calculation_method,is_estimate,is_reported,confidence,review_status,promote_to_metric_id,created_at,notes
metric_company_cn_002837_invic_diluted_eps_20231231_1291eb45,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20231231,unknown,0.61,CNY_per_share,CNY,0.61,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20240331_d96fa176,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20240331,unknown,0.11,CNY_per_share,CNY,0.11,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20240630_8ad0112a,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20240630,unknown,0.25,CNY_per_share,CNY,0.25,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20240930_8a8bdfb8,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20240930,unknown,0.48,CNY_per_share,CNY,0.48,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20241231_8a32f527,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20241231,unknown,0.61,CNY_per_share,CNY,0.61,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20250331_3c3b11a7,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250331,unknown,0.06,CNY_per_share,CNY,0.06,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20250630_67172d7e,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250630,unknown,0.22,CNY_per_share,CNY,0.22,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20250930_7f735d8a,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20250930,unknown,0.41,CNY_per_share,CNY,0.41,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20251231_1d18aa94,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20251231,unknown,0.53,CNY_per_share,CNY,0.53,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
metric_company_cn_002837_invic_diluted_eps_20260331_4abd3af2,ev_structured_financial_data_002837_20260713_38e6e4,tushare,structured_financial_data,company,cn_002837_invic,,cn_002837_invic,002837,diluted_eps,income,20260331,unknown,0.01,CNY_per_share,CNY,0.01,CNY_per_share,tushare_income,,raw_adapter_snapshot_no_recalculation,false,true,medium,draft,,2026-07-12T17:39:32Z,Metric-only candidate generated from structured snapshot; api_params_hash=38e6e4c336c2bb7892a7e5eb4f92fa2ded11fd4adc1ad1191cfd58eca8858696; not business exposure evidence. unit normalized from source field semantics without value rescaling.
